Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
1/1/17,16009,50761,206624,1237,33
1/2/17,8921,21545,206675,142,15
1/3/17,14198,25879,206728,42,15
1/4/17,34039,69966,206778,475,29
1/5/17,28393,52446,206845,214,17
1/6/17,24177,48964,206879,157,17
1/7/17,4425,23556,206892,21,4
1/8/17,6417,22756,206907,27,2
1/9/17,15856,35209,206933,30,2
1/10/17,23232,46216,206955,67,12
1/11/17,32419,63099,206981,208,37
1/12/17,39783,84763,207021,479,30
1/13/17,33611,75847,207059,373,43
1/14/17,13819,43090,207087,252,33
1/15/17,17384,50738,207120,476,19
1/16/17,24110,51664,207163,448,30
1/17/17,18646,40697,207198,63,15
1/18/17,30857,57978,207224,146,17
1/19/17,36561,72077,207262,391,27
1/20/17,26752,56479,207288,184,19
1/21/17,26610,64662,207336,957,31
1/22/17,20523,49368,207368,520,25
1/23/17,15822,37687,207399,54,20
1/24/17,13171,35619,207414,28,5
1/25/17,36931,71418,207453,301,29
1/26/17,33002,63750,207501,223,28
1/27/17,32394,70189,207540,231,23
1/28/17,21302,53955,207567,402,25
1/29/17,22527,62854,207620,585,26
1/30/17,29616,59975,207673,163,32
1/31/17,25169,48684,207706,62,19
2/1/17,35221,77639,207749,194,22
2/2/17,34517,70727,207793,216,27
2/3/17,29632,64701,207825,181,32
2/4/17,19204,45120,207861,413,14
2/5/17,20059,50532,207890,337,19
2/6/17,33415,72513,207930,305,49
2/7/17,23053,57760,207962,54,17
2/8/17,40428,90430,208011,483,32
2/9/17,0,0,208018,0,0
